time,site,link,description,theme
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/auto/saugus-eismas/2024/12/15/news/krauju-ir-mirtimi-pazymetoje-vilniaus-vietoje-bijoma-dar-daugiau-tragediju-atskleide-kaip-spres-problema-35551063,"Krauju ir mirtimi pažymėtoje Vilniaus vietoje bijoma dar daugiau tragedijų: atskleidė, kaip spręs problemą ",Auto
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/15/news/karas-ukrainoje-pranesa-apie-nauja-rusu-ataka-ivairiuose-ukrainos-regionuose-paskelbtas-oro-pavojus-35654385,"Karas Ukrainoje. Kas būtų, jei V. Putinas užpultų Europą: parodė galimas Trečiojo pasaulinio karo fronto linijas  (3) ",Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/aktualijos/2024/12/15/news/po-konservatoriu-skeciu-pasislepes-rusijos-snipas-atskleide-ka-slepia-suklastota-biografija-35615446,"Po konservatorių skėčiu – pasislėpęs Rusijos šnipas: atskleidė, ką slepia suklastota biografija  (20) ",Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/nelaimes/2024/12/15/news/nakti-kaune-visiskai-sudege-gyvenamasis-namas-buvo-evakuoti-kaimynai-35665734,"Naktį Kaune visiškai sudegė gyvenamasis namas, buvo evakuoti kaimynai ",Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/15/news/vyras-devynerius-metus-valgo-tai-ka-suranda-konteineriuose-papasakojo-apie-labiausiai-pribloskusius-radinius-35599614,"Vyras devynerius metus valgo tai, ką suranda konteineriuose: papasakojo apie labiausiai pribloškusius radinius  (1) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/bustas/nekilnojamasis-turtas/2024/12/15/news/daugiabuciams-ten-ne-vieta-kaunieciai-pasirenge-kovoti-uz-zaliaji-perla-miesto-centre-35401220,Daugiabučiams ten ne vieta: kauniečiai pasirengę kovoti už žaliąjį perlą miesto centre   ,Būstas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/marga-planeta/2024/12/15/news/buvusi-slaptosios-tarnybos-agente-atskleide-snipu-triuka-kaip-paveikti-zmogu-daugybe-ir-lieka-nesuprate-35459795,"Buvusi Slaptosios tarnybos agentė atskleidė „šnipų triuką“, kaip paveikti žmogų: daugybė ir lieka nesupratę ",Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/startai/2024/12/15/news/danas-rapsys-siaip-ne-taip-prasimuse-i-pasaulio-cempionato-finala-35665289,Danas Rapšys šiaip ne taip prasimušė į pasaulio čempionato finalą ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/veidai-ir-vardai/2024/12/15/news/po-sel-koncerto-kaune-pasipyle-incidentai-6-asmenys-atsidure-policijoje-apvogta-moteris-35665656,"Po SEL koncerto Kaune pasipylė incidentai: 6 asmenys atsidūrė policijoje, apvogta moteris  (1) ",Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/stilius/karamele/2024/12/15/news/-stikliu-restorane-kaledinis-gurmanu-gildijos-vakaras-sveciai-megavosi-prabangia-vakariene-35664985,„Stiklių“ restorane – kalėdinis Gurmanų gildijos vakaras: svečiai mėgavosi prabangia vakariene  (1) ,Stilius
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/veidai-ir-vardai/2024/12/15/news/editos-mildazytes-namuose-puode-papuosta-kaledine-egle-pamatykite-rezultata-35665225,Editos Mildažytės namuose – puode papuošta kalėdinė eglė: pamatykite rezultatą ,Žmonės
